year,id,ndvi
2015,13782,3510.899702
2015,14512,4082.081013
2015,14550,5333.620571
2015,14683,4328.293295
2015,15085,2510.672333
2015,15616,2306.64799
2015,16485,2840.741016
2015,16833,2746.301299
2015,18541,1981.563635
2015,18542,2302.02076
2015,18585,2131.903932
2015,18815,2838.97441
2015,18861,3019.916954
2015,19004,3060.305888
2015,19326,3326.71961
2015,20593,2746.295894
2015,22224,3540.103192
2015,23007,3250.635791
2015,23460,2183.119603
2016,162,2916.532148
2016,509,2260.252056
2016,801,2886.95794
2016,843,4077.112319
2016,899,4040.962517
2016,955,2174.810864
2016,1079,1917.253502
2016,1436,3590.401301
2016,1617,3966.240936
2016,2381,3470.224125
2016,2387,3433.440841
2016,2538,3003.830197
2016,2667,2310.068213
2016,3018,4007.40253
2016,3399,2810.977644
2016,3614,3958.080225
2016,3775,4760.677168
2016,3820,1997.874579
2016,4508,1655.362062
2016,4867,2423.5405
2016,4908,2321.278044
2016,5492,2908.6154
2016,6125,3353.685456
2016,8272,1922.850144
2016,9767,3600.03019
2016,9798,1691.07354
2016,10656,3547.523922
2016,11124,4816.23964
2016,12446,3896.92818
2016,12457,3436.332373
2016,12570,2135.212276
2016,13782,3569.37294
2016,14512,4223.248397
2016,14550,5069.517688
2016,14683,4260.780124
2016,15085,2219.770203
2016,15616,2261.735395
2016,16485,3051.884934
2016,16833,2781.13506
2016,18541,1953.671268
2016,18542,2290.138487
2016,18585,2172.945881
2016,18815,2792.718756
2016,18861,2843.066819
2016,19004,2904.796898
2016,19326,3430.670722
2016,20593,2253.008454
2016,22224,3160.249199
2016,23007,3175.505776
2016,23460,1978.652324
2017,162,3260.166636
2017,509,2495.894928
2017,801,2636.002713
2017,843,4628.496654
2017,899,4062.932673
2017,955,1908.45605
2017,1079,2295.79779
2017,1436,3880.909711
2017,1617,4432.889911
2017,2381,3798.899051
2017,2387,3856.8226
2017,2538,3376.67905
2017,2667,2696.088116
2017,3018,3050.710729
2017,3399,2618.420321
2017,3614,4373.482123
2017,3775,5103.672189
2017,3820,2061.173982
2017,4508,2086.895489
2017,4867,2656.675169
2017,4908,2587.58106
2017,5492,3452.350956
2017,6125,3606.508798
2017,8272,2306.269025
2017,9767,4079.488121
2017,9798,2004.118097
2017,10656,3853.280252
2017,11124,3821.821126
2017,12446,4180.62017
2017,12457,3931.568862
2017,12570,2273.580563
2017,13782,3953.420499
2017,14512,4564.841099
2017,14550,5296.209006
2017,14683,4428.619159
2017,15085,2609.313175
2017,15616,2263.75563
2017,16485,3389.87843
2017,16833,3238.293374
2017,18541,1842.280885
2017,18542,2301.814832
2017,18585,2258.610949
2017,18815,3147.700221
2017,18861,3281.976025
2017,19004,3176.738164
2017,19326,3833.998405
2017,20593,2853.09058
2017,22224,3595.073198
2017,23007,3482.680319
2017,23460,2153.349406
2018,162,3061.215088
2018,509,2141.451772
2018,801,2322.856648
2018,843,3358.72332
2018,899,3917.110438
2018,955,1717.159567
2018,1079,1898.077894
2018,1436,3047.593621
2018,1617,4106.70097
2018,2381,3285.527359
2018,2387,3175.688051
2018,2538,2678.60464
2018,2667,2267.195169
2018,3018,3187.228387
2018,3399,2496.661929
2018,3614,3718.90331
2018,3775,4634.765707
2018,3820,1883.128119
2018,4508,1955.057143
2018,4867,2472.266415
2018,4908,2309.185444
2018,5492,3323.758749
2018,6125,3543.799183
2018,8272,2106.835299
2018,9767,3830.894384
2018,9798,1910.866957
2018,10656,3808.806258
2018,11124,3682.356671
2018,12446,4284.844976
2018,12457,3672.295968
2018,12570,2134.353406
2018,13782,3777.363522
2018,14512,3549.661003
2018,14550,4769.18851
2018,14683,4468.594288
2018,15085,2344.909107
2018,15616,2310.613213
2018,16485,3036.139685
2018,16833,3182.296164
2018,18541,1970.865903
2018,18542,2268.410172
2018,18585,2026.999713
2018,18815,2594.836074
2018,18861,3151.084668
2018,19004,2735.346308
2018,19326,3520.009716
2018,20593,2323.744565
2018,22224,3381.998624
2018,23007,3379.52888
2018,23460,2059.50158
2019,162,2833.100129
2019,509,2130.83206
2019,801,2130.237584
2019,843,2679.316206
2019,899,3779.270409
2019,955,1689.175458
2019,1079,1784.546398
2019,1436,2022.695335
2019,1617,3983.56553
2019,2381,2108.992495
2019,2387,2429.714678
2019,2538,2848.359453
2019,2667,2375.181063
2019,3018,2862.71638
2019,3399,2271.167245
2019,3614,2806.286002
2019,3775,3835.841988
2019,3820,0
2019,4508,1780.237785
2019,4867,2244.46181
2019,4908,2142.661546
2019,5492,3131.57286
2019,6125,3336.749347
2019,8272,2193.533298
2019,9767,3591.634433
2019,9798,1716.842991
2019,10656,3353.599782
2019,11124,3552.789087
2019,12446,3557.191601
2019,12457,3531.333217
2019,12570,1498.21457
2019,13782,3460.403547
2019,14512,2909.579042
2019,14550,3407.088467
2019,14683,3773.648614
2019,15085,2446.548697
2019,15616,2187.98863
2019,16485,2907.403975
2019,16833,2778.056267
2019,18541,1693.755602
2019,18542,2091.221624
2019,18585,1859.451912
2019,18815,2596.695945
2019,18861,2993.855149
2019,19004,2757.27274
2019,19326,3543.368108
2019,20593,2586.233092
2019,22224,3294.588608
2019,23007,3099.240486
2019,23460,2077.021513
2020,162,2358.506356
2020,509,1818.116334
2020,801,2196.494014
2020,843,2814.763011
2020,899,3622.239956
2020,955,1554.192121
2020,1079,1950.562108
2020,1436,2048.069819
2020,1617,3783.89975
2020,2381,2244.116046
2020,2387,2489.374001
2020,2538,2341.086578
2020,2667,2042.461449
2020,3018,3107.606294
2020,3399,2555.426715
2020,3614,3203.505012
2020,3775,4384.284555
2020,3820,2555.206024
2020,4508,1770.661731
2020,4867,2187.530125
2020,4908,2070.107675
2020,5492,3124.630971
2020,6125,3281.569872
2020,8272,1756.584874
2020,9767,3095.581395
2020,9798,1670.767628
2020,10656,3373.698381
2020,11124,3453.006478
2020,12446,3878.139021
2020,12457,3598.684348
2020,12570,1659.819809
2020,13782,3484.746351
2020,14512,2762.201813
2020,14550,4058.959896
2020,14683,4005.653276
2020,15085,2187.833005
2020,15616,2152.890081
2020,16485,2716.259328
2020,16833,2732.613705
2020,18541,1935.127062
2020,18542,2381.681014
2020,18585,2073.752997
2020,18815,2751.145879
2020,18861,2877.560412
2020,19004,2729.776467
2020,19326,3118.148288
2020,20593,2341.457126
2020,22224,3250.439736
2020,23007,3534.593993
2020,23460,1812.423048
